component,strategy,run,seed,order,component_id,score,score_metric
node,odbc,0,20260905,44,895,0.0603312853014146,odbc
node,odbc,0,20260905,45,454,0.0602560362357343,odbc
node,odbc,0,20260905,46,358,0.0594057511010875,odbc
node,odbc,0,20260905,47,1278,0.0592433369150099,odbc
node,odbc,0,20260905,48,1670,0.0585456231911505,odbc
node,odbc,0,20260905,49,601,0.0584515861269994,odbc
node,odbc,0,20260905,50,1693,0.0584490605819743,odbc
node,odbc,0,20260905,51,1553,0.058418851079116,odbc
node,odbc,0,20260905,52,451,0.0581658383942207,odbc
node,odbc,0,20260905,53,283,0.0579888373630774,odbc
node,odbc,0,20260905,54,1333,0.0577960471358312,odbc
node,odbc,0,20260905,55,1500,0.057258131291557,odbc
node,odbc,0,20260905,56,1499,0.0559831105097767,odbc
node,odbc,0,20260905,57,1704,0.0559021402786118,odbc
node,odbc,0,20260905,58,1380,0.0557346298398716,odbc
node,odbc,0,20260905,59,1545,0.0554150389054823,odbc
node,odbc,0,20260905,60,802,0.0553912158846143,odbc
node,odbc,0,20260905,61,1718,0.0545025972859202,odbc
node,odbc,0,20260905,62,676,0.0543253953748846,odbc
node,odbc,0,20260905,63,152,0.0535514774794441,odbc
node,odbc,0,20260905,64,9,0.0534168134908057,odbc
node,odbc,0,20260905,65,668,0.0533088625726585,odbc
node,odbc,0,20260905,66,1275,0.0532841346336268,odbc
node,odbc,0,20260905,67,112,0.0529545355751366,odbc
node,odbc,0,20260905,68,349,0.052759107259175,odbc
node,odbc,0,20260905,69,378,0.0522329203306805,odbc
node,odbc,0,20260905,70,626,0.0521899585602883,odbc
node,odbc,0,20260905,71,800,0.052086016836685,odbc
node,odbc,0,20260905,72,1694,0.052036502952685,odbc
node,odbc,0,20260905,73,1299,0.0519096688565645,odbc
node,odbc,0,20260905,74,902,0.051780723974442,odbc
node,odbc,0,20260905,75,967,0.0515756795174846,odbc
node,odbc,0,20260905,76,461,0.0515180949362858,odbc
node,odbc,0,20260905,77,815,0.0515109188098816,odbc
node,odbc,0,20260905,78,667,0.0512474843013995,odbc
node,odbc,0,20260905,79,801,0.0511570553537352,odbc
node,odbc,0,20260905,80,377,0.051152443705286,odbc
node,odbc,0,20260905,81,53,0.0508708113217189,odbc
node,odbc,0,20260905,82,827,0.0506949600140676,odbc
node,odbc,0,20260905,83,444,0.0505439718027373,odbc
node,odbc,0,20260905,84,696,0.0501128882174288,odbc
node,odbc,0,20260905,85,799,0.0500766920586967,odbc
node,odbc,0,20260905,86,441,0.0497681968326171,odbc
node,odbc,0,20260905,87,803,0.0495865622218906,odbc
node,odbc,0,20260905,88,1717,0.0494930510604565,odbc
node,odbc,0,20260905,89,1007,0.0488904557716122,odbc
node,odbc,0,20260905,90,1051,0.0483955983052766,odbc
node,odbc,0,20260905,91,1381,0.0483697261830962,odbc
node,odbc,0,20260905,92,91,0.0483687340830685,odbc
node,odbc,0,20260905,93,953,0.048356222517057,odbc
node,odbc,0,20260905,94,243,0.048291432626187,odbc
node,odbc,0,20260905,95,490,0.0482609474434407,odbc
node,odbc,0,20260905,96,440,0.0479282911596405,odbc
node,odbc,0,20260905,97,613,0.0479282911596405,odbc
node,odbc,0,20260905,98,873,0.0479282911596405,odbc
node,odbc,0,20260905,99,409,0.0478220627824974,odbc
node,odbc,0,20260905,100,355,0.0476338719214601,odbc
node,odbc,0,20260905,101,373,0.0476338719214601,odbc
node,odbc,0,20260905,102,1715,0.0476105483675926,odbc
node,odbc,0,20260905,103,1089,0.0474686102809953,odbc
node,odbc,0,20260905,104,532,0.0468706956001267,odbc
node,odbc,0,20260905,105,445,0.0466565707737205,odbc
node,odbc,0,20260905,106,1293,0.0465824694483949,odbc
node,odbc,0,20260905,107,1620,0.0465824694483949,odbc
node,odbc,0,20260905,108,1498,0.0464258795573709,odbc
node,odbc,0,20260905,109,460,0.0462805706164411,odbc
node,odbc,0,20260905,110,1555,0.0462755265116197,odbc
node,odbc,0,20260905,111,1329,0.0461401072818919,odbc
node,odbc,0,20260905,112,223,0.0457379561788444,odbc
node,odbc,0,20260905,113,571,0.045533884265469,odbc
node,odbc,0,20260905,114,999,0.045496320952816,odbc
node,odbc,0,20260905,115,416,0.0453607053995895,odbc
node,odbc,0,20260905,116,1716,0.0452140384214223,odbc
node,odbc,0,20260905,117,140,0.0450658568587759,odbc
node,odbc,0,20260905,118,1372,0.0449476567558208,odbc
node,odbc,0,20260905,119,730,0.0447850006368572,odbc
node,odbc,0,20260905,120,1231,0.0447332677169726,odbc
node,odbc,0,20260905,121,1232,0.0447148971875939,odbc
node,odbc,0,20260905,122,1286,0.0445414129527358,odbc
node,odbc,0,20260905,123,807,0.0444414826094521,odbc
node,odbc,0,20260905,124,929,0.0444066957407359,odbc
node,odbc,0,20260905,125,2,0.0443890934006781,odbc
node,odbc,0,20260905,126,1018,0.0442000992197855,odbc
node,odbc,0,20260905,127,1695,0.0439847433378617,odbc
node,odbc,0,20260905,128,737,0.0439435536219594,odbc
node,odbc,0,20260905,129,28,0.0439301699559409,odbc
node,odbc,0,20260905,130,497,0.0434435300351756,odbc
node,odbc,0,20260905,131,443,0.0432300967806501,odbc
node,odbc,0,20260905,132,1522,0.0429769434414523,odbc
node,odbc,0,20260905,133,149,0.0429195260076103,odbc
node,odbc,0,20260905,134,496,0.04284698673416,odbc
node,odbc,0,20260905,135,835,0.0428057072501408,odbc
node,odbc,0,20260905,136,915,0.0427879857681996,odbc
node,odbc,0,20260905,137,1504,0.0426492254080859,odbc
node,odbc,0,20260905,138,819,0.0425192632955937,odbc
node,odbc,0,20260905,139,1576,0.0423410463453685,odbc
node,odbc,0,20260905,140,825,0.0422051762246191,odbc
node,odbc,0,20260905,141,446,0.0421827026282295,odbc
node,odbc,0,20260905,142,1599,0.0419444240943922,odbc
node,odbc,0,20260905,143,1143,0.0418811461656003,odbc
node,odbc,0,20260905,144,466,0.0418508841623272,odbc
node,odbc,0,20260905,145,606,0.0418171296084267,odbc
node,odbc,0,20260905,146,1003,0.0418069775618332,odbc
node,odbc,0,20260905,147,784,0.0417486711369251,odbc
node,odbc,0,20260905,148,771,0.0417434131873393,odbc
node,odbc,0,20260905,149,1295,0.0417434131873393,odbc
node,odbc,0,20260905,150,1508,0.0413718285145057,odbc
node,odbc,0,20260905,151,565,0.0413708904094764,odbc
node,odbc,0,20260905,152,1324,0.0412784792620855,odbc
node,odbc,0,20260905,153,1325,0.0412784792620855,odbc
node,odbc,0,20260905,154,1326,0.0412784792620855,odbc
node,odbc,0,20260905,155,1327,0.0412784792620855,odbc
node,odbc,0,20260905,156,1703,0.0412390395290426,odbc
node,odbc,0,20260905,157,1646,0.0412273693824126,odbc
node,odbc,0,20260905,158,1387,0.0412006737495017,odbc
node,odbc,0,20260905,159,1386,0.0408926297086558,odbc
node,odbc,0,20260905,160,94,0.0408532911637785,odbc
node,odbc,0,20260905,161,1008,0.0408532911637785,odbc
node,odbc,0,20260905,162,1577,0.0406841886646418,odbc
node,odbc,0,20260905,163,90,0.0404914975100856,odbc
node,odbc,0,20260905,164,1415,0.0404848208113263,odbc
node,odbc,0,20260905,165,315,0.0404803169834635,odbc
node,odbc,0,20260905,166,1133,0.0403604772546395,odbc
node,odbc,0,20260905,167,95,0.040355241551087,odbc
node,odbc,0,20260905,168,1520,0.0403220180908188,odbc
node,odbc,0,20260905,169,599,0.0402234419695969,odbc
node,odbc,0,20260905,170,1443,0.0402094581438002,odbc
node,odbc,0,20260905,171,413,0.0400611208441398,odbc
node,odbc,0,20260905,172,281,0.0400270408267811,odbc
node,odbc,0,20260905,173,430,0.0398922136143228,odbc
node,odbc,0,20260905,174,1483,0.0398274052031229,odbc
node,odbc,0,20260905,175,463,0.0398172381354189,odbc
node,odbc,0,20260905,176,93,0.0397863926815485,odbc
node,odbc,0,20260905,177,376,0.0393818210134478,odbc
node,odbc,0,20260905,178,1616,0.0390309963865577,odbc
node,odbc,0,20260905,179,381,0.0389412729408977,odbc
node,odbc,0,20260905,180,380,0.0387025538906599,odbc
node,odbc,0,20260905,181,1088,0.0386866230844384,odbc
node,odbc,0,20260905,182,639,0.0386452855970673,odbc
node,odbc,0,20260905,183,83,0.0384594999301138,odbc
node,odbc,0,20260905,184,1523,0.0384292405426529,odbc
node,odbc,0,20260905,185,804,0.0383330613824031,odbc
node,odbc,0,20260905,186,1294,0.0382590586569952,odbc
node,odbc,0,20260905,187,582,0.038220059710304,odbc
node,odbc,0,20260905,188,1270,0.0380896704631747,odbc
node,odbc,0,20260905,189,581,0.0379902533166568,odbc
node,odbc,0,20260905,190,693,0.0378979574150691,odbc
node,odbc,0,20260905,191,298,0.0378076022340716,odbc
node,odbc,0,20260905,192,1104,0.0378075163260367,odbc
node,odbc,0,20260905,193,92,0.0377751320424893,odbc
node,odbc,0,20260905,194,718,0.0375982456439903,odbc
node,odbc,0,20260905,195,1604,0.0375658841845851,odbc
node,odbc,0,20260905,196,813,0.0375512816221467,odbc
node,odbc,0,20260905,197,806,0.0374747937617879,odbc
node,odbc,0,20260905,198,374,0.0374621487147833,odbc
node,odbc,0,20260905,199,311,0.0374582675759069,odbc
node,odbc,0,20260905,200,637,0.0374039701088452,odbc
node,odbc,0,20260905,201,368,0.0373126044899019,odbc
node,odbc,0,20260905,202,1475,0.0371295685633605,odbc
node,odbc,0,20260905,203,226,0.0370991676771759,odbc
node,odbc,0,20260905,204,33,0.0370399722688594,odbc
node,odbc,0,20260905,205,121,0.0367022950046973,odbc
node,odbc,0,20260905,206,773,0.0366905531376294,odbc
node,odbc,0,20260905,207,975,0.0365196366538293,odbc
node,odbc,0,20260905,208,1614,0.0365196366538293,odbc
node,odbc,0,20260905,209,1645,0.0365196366538293,odbc
node,odbc,0,20260905,210,948,0.036502748053198,odbc
node,odbc,0,20260905,211,1472,0.0364475501344594,odbc
node,odbc,0,20260905,212,111,0.036428493126209,odbc
node,odbc,0,20260905,213,1527,0.0363655131129103,odbc
node,odbc,0,20260905,214,1463,0.0363624832901982,odbc
node,odbc,0,20260905,215,1652,0.0363534466267609,odbc
node,odbc,0,20260905,216,1170,0.0361209115550249,odbc
node,odbc,0,20260905,217,816,0.0360907943323222,odbc
node,odbc,0,20260905,218,1233,0.0360179216160433,odbc
node,odbc,0,20260905,219,89,0.0360048459631583,odbc
node,odbc,0,20260905,220,1647,0.0359774798128363,odbc
node,odbc,0,20260905,221,1396,0.0359424771063361,odbc
node,odbc,0,20260905,222,624,0.0358628209013194,odbc
node,odbc,0,20260905,223,828,0.035771925626981,odbc
node,odbc,0,20260905,224,457,0.0357695141607431,odbc
node,odbc,0,20260905,225,589,0.0357404685073118,odbc
node,odbc,0,20260905,226,1479,0.0353928366368887,odbc
node,odbc,0,20260905,227,14,0.0353386075422816,odbc
node,odbc,0,20260905,228,122,0.0352267297815309,odbc
node,odbc,0,20260905,229,123,0.0352267297815309,odbc
node,odbc,0,20260905,230,619,0.0352088548415548,odbc
node,odbc,0,20260905,231,622,0.0352088548415548,odbc
node,odbc,0,20260905,232,1617,0.0352088548415548,odbc
node,odbc,0,20260905,233,211,0.035165012211726,odbc
node,odbc,0,20260905,234,830,0.0351266901365909,odbc
node,odbc,0,20260905,235,125,0.0349739243302168,odbc
node,odbc,0,20260905,236,458,0.0349730136936725,odbc
node,odbc,0,20260905,237,127,0.0347614657104287,odbc
node,odbc,0,20260905,238,1629,0.0347614657104287,odbc
node,odbc,0,20260905,239,1505,0.0345883384176387,odbc
node,odbc,0,20260905,240,1683,0.0345857302754111,odbc
node,odbc,0,20260905,241,783,0.0345075257081725,odbc
node,odbc,0,20260905,242,1730,0.0344983399806944,odbc
node,odbc,0,20260905,243,414,0.0341354275684714,odbc
node,odbc,0,20260905,244,855,0.0341017405139155,odbc
node,odbc,0,20260905,245,1388,0.0340780385032859,odbc
node,odbc,0,20260905,246,987,0.0340440380036251,odbc
node,odbc,0,20260905,247,1085,0.0340318568733926,odbc
node,odbc,0,20260905,248,285,0.0339095197421674,odbc
node,odbc,0,20260905,249,856,0.03369527853322,odbc
node,odbc,0,20260905,250,1731,0.0336083663105994,odbc
node,odbc,0,20260905,251,610,0.0335355796718396,odbc
node,odbc,0,20260905,252,51,0.0334782020621208,odbc
node,odbc,0,20260905,253,1444,0.0334458639364474,odbc
node,odbc,0,20260905,254,1106,0.0334278351297692,odbc
node,odbc,0,20260905,255,777,0.0333847695670926,odbc
node,odbc,0,20260905,256,1732,0.0333206508089481,odbc
node,odbc,0,20260905,257,949,0.0333055212299245,odbc
node,odbc,0,20260905,258,348,0.0331695342980662,odbc
node,odbc,0,20260905,259,30,0.0331220919304542,odbc
node,odbc,0,20260905,260,636,0.0330660193382375,odbc
node,odbc,0,20260905,261,495,0.0328824514610564,odbc
node,odbc,0,20260905,262,707,0.0327724777894702,odbc
node,odbc,0,20260905,263,654,0.0327686207853249,odbc
node,odbc,0,20260905,264,415,0.0326558828554977,odbc
node,odbc,0,20260905,265,780,0.0326074010017551,odbc
node,odbc,0,20260905,266,586,0.0325960512399804,odbc
node,odbc,0,20260905,267,547,0.0324473035307841,odbc
node,odbc,0,20260905,268,462,0.0324234558231534,odbc
node,odbc,0,20260905,269,464,0.0324234558231534,odbc
node,odbc,0,20260905,270,407,0.0323229475281597,odbc
node,odbc,0,20260905,271,139,0.0322798990322028,odbc
node,odbc,0,20260905,272,52,0.0322747812756165,odbc
node,odbc,0,20260905,273,592,0.0322544543255993,odbc
node,odbc,0,20260905,274,885,0.0322195599922418,odbc
node,odbc,0,20260905,275,1188,0.0321834568254319,odbc
node,odbc,0,20260905,276,762,0.0321406721999452,odbc
node,odbc,0,20260905,277,758,0.0320520363996265,odbc
node,odbc,0,20260905,278,459,0.0319121747503773,odbc
node,odbc,0,20260905,279,1179,0.0319115190149248,odbc
node,odbc,0,20260905,280,36,0.0318632902377207,odbc
node,odbc,0,20260905,281,469,0.0318412829554677,odbc
node,odbc,0,20260905,282,504,0.0317662514202371,odbc
node,odbc,0,20260905,283,1365,0.0317662514202371,odbc
node,odbc,0,20260905,284,789,0.031660285633875,odbc
node,odbc,0,20260905,285,669,0.0316548411515914,odbc
node,odbc,0,20260905,286,508,0.0314788396418034,odbc
node,odbc,0,20260905,287,594,0.0314581611951865,odbc
node,odbc,0,20260905,288,1603,0.0313046402094352,odbc
node,odbc,0,20260905,289,506,0.0312240982375699,odbc
node,odbc,0,20260905,290,375,0.0311604945057052,odbc
node,odbc,0,20260905,291,633,0.031158590310241,odbc
node,odbc,0,20260905,292,775,0.0310821229109655,odbc
node,odbc,0,20260905,293,857,0.0310273705168783,odbc
node,odbc,0,20260905,294,859,0.0310237367138944,odbc
node,odbc,0,20260905,295,705,0.0309459163545217,odbc
node,odbc,0,20260905,296,611,0.0309320146958845,odbc
node,odbc,0,20260905,297,161,0.0307656250239675,odbc
node,odbc,0,20260905,298,224,0.0307400280077862,odbc
node,odbc,0,20260905,299,472,0.0307356816132177,odbc
node,odbc,0,20260905,300,679,0.0306105166342849,odbc
node,odbc,0,20260905,301,222,0.0305756946133111,odbc
node,odbc,0,20260905,302,1091,0.0305468716943822,odbc
node,odbc,0,20260905,303,187,0.0305199751598398,odbc
node,odbc,0,20260905,304,408,0.0304732949005113,odbc
node,odbc,0,20260905,305,1398,0.0304557127811082,odbc
node,odbc,0,20260905,306,1114,0.0304535199075756,odbc
node,odbc,0,20260905,307,372,0.0304221464268752,odbc
node,odbc,0,20260905,308,838,0.030347624975483,odbc
node,odbc,0,20260905,309,1102,0.0303015579397002,odbc
node,odbc,0,20260905,310,295,0.0302993623870918,odbc
node,odbc,0,20260905,311,116,0.0302712900573643,odbc
node,odbc,0,20260905,312,7,0.0302613453204363,odbc
node,odbc,0,20260905,313,507,0.0301722752491166,odbc
node,odbc,0,20260905,314,402,0.0299511182488955,odbc
node,odbc,0,20260905,315,383,0.0299224264320346,odbc
node,odbc,0,20260905,316,397,0.0299224264320346,odbc
node,odbc,0,20260905,317,1413,0.0298955603708834,odbc
node,odbc,0,20260905,318,778,0.0298663824031753,odbc
node,odbc,0,20260905,319,734,0.0297949214288506,odbc
node,odbc,0,20260905,320,32,0.029742630431703,odbc
node,odbc,0,20260905,321,1305,0.0297127842314237,odbc
node,odbc,0,20260905,322,609,0.0296723322864898,odbc
node,odbc,0,20260905,323,308,0.0296537428819496,odbc
node,odbc,0,20260905,324,567,0.0296537428819496,odbc
node,odbc,0,20260905,325,516,0.02963484691425,odbc
node,odbc,0,20260905,326,528,0.02963484691425,odbc
node,odbc,0,20260905,327,1361,0.0296236982586237,odbc
node,odbc,0,20260905,328,840,0.0295936167021883,odbc
node,odbc,0,20260905,329,1394,0.0295764867541519,odbc
node,odbc,0,20260905,330,1097,0.0295447505877149,odbc
node,odbc,0,20260905,331,307,0.029519208103741,odbc
node,odbc,0,20260905,332,1455,0.0294655914479726,odbc
node,odbc,0,20260905,333,154,0.0294578738312199,odbc
node,odbc,0,20260905,334,491,0.0293097909539803,odbc
node,odbc,0,20260905,335,512,0.0293008574581088,odbc
node,odbc,0,20260905,336,1397,0.0292794758101518,odbc
node,odbc,0,20260905,337,429,0.0292579459181507,odbc
node,odbc,0,20260905,338,487,0.0292395653536076,odbc
node,odbc,0,20260905,339,400,0.0291630644704263,odbc
node,odbc,0,20260905,340,774,0.0291530204739303,odbc
node,odbc,0,20260905,341,361,0.0290997517551796,odbc
node,odbc,0,20260905,342,493,0.0290262398978365,odbc
node,odbc,0,20260905,343,972,0.0289828841916431,odbc
node,odbc,0,20260905,344,517,0.0289712437941988,odbc
node,odbc,0,20260905,345,1181,0.0289354946152637,odbc
node,odbc,0,20260905,346,439,0.0289117883704779,odbc
node,odbc,0,20260905,347,1343,0.0288906834410021,odbc
node,odbc,0,20260905,348,785,0.0288633329456139,odbc
node,odbc,0,20260905,349,1124,0.0288627701966879,odbc
node,odbc,0,20260905,350,638,0.0288459125086084,odbc
node,odbc,0,20260905,351,543,0.0287009375253666,odbc
node,odbc,0,20260905,352,479,0.0285634438001917,odbc
node,odbc,0,20260905,353,1491,0.0285507630692852,odbc
node,odbc,0,20260905,354,867,0.0284694705038354,odbc
node,odbc,0,20260905,355,4,0.0284193429631177,odbc
node,odbc,0,20260905,356,59,0.0280979150136818,odbc
node,odbc,0,20260905,357,655,0.0280948286350824,odbc
node,odbc,0,20260905,358,1480,0.0280785028702919,odbc
node,odbc,0,20260905,359,1349,0.028026780048829,odbc
node,odbc,0,20260905,360,1573,0.0279873572650112,odbc
node,odbc,0,20260905,361,576,0.0279505788997189,odbc
node,odbc,0,20260905,362,160,0.027921874738686,odbc
node,odbc,0,20260905,363,591,0.0277986293982804,odbc
node,odbc,0,20260905,364,615,0.0277986293982804,odbc
node,odbc,0,20260905,365,503,0.0276861037849229,odbc
node,odbc,0,20260905,366,578,0.0276070410020931,odbc
node,odbc,0,20260905,367,115,0.0275930813718309,odbc
node,odbc,0,20260905,368,1373,0.0275804097002763,odbc
node,odbc,0,20260905,369,1708,0.0275433561695297,odbc
node,odbc,0,20260905,370,616,0.0275218103213704,odbc
node,odbc,0,20260905,371,1512,0.0274966357500278,odbc
node,odbc,0,20260905,372,1189,0.027476439325859,odbc
node,odbc,0,20260905,373,336,0.0274691383064134,odbc
node,odbc,0,20260905,374,344,0.0274691383064134,odbc
node,odbc,0,20260905,375,1004,0.0274013782746853,odbc
node,odbc,0,20260905,376,690,0.0273802648685498,odbc
node,odbc,0,20260905,377,322,0.0273718530450834,odbc
node,odbc,0,20260905,378,434,0.0273161033597262,odbc
node,odbc,0,20260905,379,817,0.0273080962331051,odbc
node,odbc,0,20260905,380,726,0.0272400904015364,odbc
node,odbc,0,20260905,381,729,0.0272400904015364,odbc
node,odbc,0,20260905,382,597,0.0272121302755365,odbc
node,odbc,0,20260905,383,728,0.027189403338067,odbc
node,odbc,0,20260905,384,526,0.027189026173671,odbc
node,odbc,0,20260905,385,531,0.027189026173671,odbc
node,odbc,0,20260905,386,722,0.0271590379347759,odbc
node,odbc,0,20260905,387,811,0.0270894409542906,odbc
node,odbc,0,20260905,388,837,0.0270311144384571,odbc
node,odbc,0,20260905,389,1566,0.0270235157113705,odbc
node,odbc,0,20260905,390,605,0.027023144096025,odbc
node,odbc,0,20260905,391,1423,0.0269746350480791,odbc
node,odbc,0,20260905,392,1575,0.0269273429061131,odbc
node,odbc,0,20260905,393,1445,0.0268744316443373,odbc
node,odbc,0,20260905,394,1460,0.0268744316443373,odbc
node,odbc,0,20260905,395,1260,0.0268456034524132,odbc
node,odbc,0,20260905,396,1222,0.0267317588884354,odbc
node,odbc,0,20260905,397,268,0.026638626330442,odbc
node,odbc,0,20260905,398,1572,0.0265424729244726,odbc
node,odbc,0,20260905,399,1619,0.0265424729244726,odbc
node,odbc,0,20260905,400,955,0.0265010284246466,odbc
node,odbc,0,20260905,401,1382,0.0264626591065189,odbc
node,odbc,0,20260905,402,492,0.0263664870242745,odbc
node,odbc,0,20260905,403,1562,0.0263539316138143,odbc
node,odbc,0,20260905,404,890,0.0263188721000757,odbc
node,odbc,0,20260905,405,494,0.0262931033367403,odbc
node,odbc,0,20260905,406,1651,0.0262418899488565,odbc
node,odbc,0,20260905,407,310,0.0261156890981855,odbc
node,odbc,0,20260905,408,419,0.0261156890981855,odbc
node,odbc,0,20260905,409,952,0.0261133034883124,odbc
node,odbc,0,20260905,410,860,0.026008883807192,odbc
node,odbc,0,20260905,411,572,0.0259973278123886,odbc
node,odbc,0,20260905,412,1680,0.0259479683641267,odbc
node,odbc,0,20260905,413,1468,0.0258303856090102,odbc
node,odbc,0,20260905,414,1129,0.0258259506185636,odbc
node,odbc,0,20260905,415,159,0.0258224866363429,odbc
node,odbc,0,20260905,416,1729,0.0258122765849232,odbc
node,odbc,0,20260905,417,1244,0.0257230842642046,odbc
node,odbc,0,20260905,418,1245,0.0257230842642046,odbc
node,odbc,0,20260905,419,5,0.0256942826065113,odbc
node,odbc,0,20260905,420,904,0.0256921835813748,odbc
node,odbc,0,20260905,421,1178,0.0256634598598909,odbc
node,odbc,0,20260905,422,1446,0.0256372162165152,odbc
node,odbc,0,20260905,423,351,0.0255449935993405,odbc
node,odbc,0,20260905,424,326,0.0255314235131165,odbc
node,odbc,0,20260905,425,1462,0.0254706277434446,odbc
node,odbc,0,20260905,426,614,0.0253840723714987,odbc
node,odbc,0,20260905,427,1606,0.0253269172958549,odbc
node,odbc,0,20260905,428,1350,0.0252485310077442,odbc
node,odbc,0,20260905,429,341,0.0251653877418916,odbc
node,odbc,0,20260905,430,918,0.0251316842993185,odbc
node,odbc,0,20260905,431,865,0.0251085286060716,odbc
node,odbc,0,20260905,432,858,0.0250662923699559,odbc
node,odbc,0,20260905,433,382,0.0250594009014267,odbc
node,odbc,0,20260905,434,1342,0.0250594009014267,odbc
node,odbc,0,20260905,435,101,0.0250266837217846,odbc
node,odbc,0,20260905,436,1661,0.0249483912346595,odbc
node,odbc,0,20260905,437,1040,0.0249378929491603,odbc
node,odbc,0,20260905,438,228,0.0249271256215882,odbc
node,odbc,0,20260905,439,1169,0.0249198283797683,odbc
node,odbc,0,20260905,440,23,0.0248686688845342,odbc
node,odbc,0,20260905,441,323,0.0248429588523961,odbc
node,odbc,0,20260905,442,608,0.0248252575937053,odbc
node,odbc,0,20260905,443,916,0.0247576321238088,odbc
node,odbc,0,20260905,444,1298,0.0247576321238088,odbc
node,odbc,0,20260905,445,763,0.0247186996270847,odbc
node,odbc,0,20260905,446,482,0.0246855758529036,odbc
node,odbc,0,20260905,447,1390,0.0246529563345973,odbc
node,odbc,0,20260905,448,1223,0.0246154007944761,odbc
node,odbc,0,20260905,449,937,0.0245988102705209,odbc
node,odbc,0,20260905,450,760,0.0245048683381941,odbc
node,odbc,0,20260905,451,1400,0.0244991022923374,odbc
node,odbc,0,20260905,452,1351,0.0244476400768306,odbc
node,odbc,0,20260905,453,957,0.0244444648052489,odbc
node,odbc,0,20260905,454,1541,0.0243969574640011,odbc
node,odbc,0,20260905,455,1128,0.0243903253956272,odbc
node,odbc,0,20260905,456,1434,0.0243574136446699,odbc
node,odbc,0,20260905,457,1269,0.0243173956798077,odbc
node,odbc,0,20260905,458,839,0.0242589627531087,odbc
node,odbc,0,20260905,459,15,0.0242552999998304,odbc
node,odbc,0,20260905,460,16,0.0242552999998304,odbc
node,odbc,0,20260905,461,1055,0.0242194613563796,odbc
node,odbc,0,20260905,462,280,0.0241850165767846,odbc
node,odbc,0,20260905,463,306,0.0241850165767846,odbc
node,odbc,0,20260905,464,583,0.0241642026320106,odbc
node,odbc,0,20260905,465,1458,0.0241304741827203,odbc
node,odbc,0,20260905,466,1461,0.0241304741827203,odbc
node,odbc,0,20260905,467,1137,0.0241291082796059,odbc
node,odbc,0,20260905,468,1081,0.0240887969970281,odbc
node,odbc,0,20260905,469,917,0.0240788801933983,odbc
node,odbc,0,20260905,470,1540,0.0240788801933983,odbc
node,odbc,0,20260905,471,1618,0.0240651602895613,odbc
node,odbc,0,20260905,472,1519,0.0240371316408636,odbc
node,odbc,0,20260905,473,750,0.0240064324574847,odbc
node,odbc,0,20260905,474,1515,0.0239958744511933,odbc
node,odbc,0,20260905,475,1597,0.0239895336995827,odbc
node,odbc,0,20260905,476,362,0.0239808162564219,odbc
