Metric,Rank,Component ID,BC,GNE Loss (%),LSCC Loss (%),TTD Loss (%),Reachable OD Demand after Removal (%),Road Name,Road Class,From Node,To Node,Length (m)
GNE,4,2426,0.0207062176418303,3.60226593894991,0.06476683937823,6.3776921613551005,97.92937823581696,WA SHUN STREET,residential,1463,1504,91.646
GNE,5,1985,0.0015469987346241,3.5803216951597,0.0,0.01948133497632,100.0,LION ROCK ROAD,tertiary,1192,1610,20.744
GNE,6,2662,0.0013729726323797,3.53708952279035,0.0,0.01953006451896,100.0,LION ROCK ROAD,tertiary,1610,1192,20.744
GNE,7,1491,0.0282736888758367,3.4098065052278295,0.0,0.84001801185724,100.0,SHEUNG LOK STREET,secondary,902,463,103.808
GNE,8,2661,0.0012431581012586,3.30855439007244,0.0,0.019464982707070002,100.0,CARPENTER ROAD,tertiary,1610,1611,23.719
GNE,9,2664,0.0012150095637834,3.2118028776404004,0.0,0.01849424061501,100.0,CARPENTER ROAD,tertiary,1611,1610,23.81
GNE,10,1843,0.0172418768845215,3.1579149606028403,0.12953367875647,5.31064557301458,98.27581231154784,KIN WAN STREET,residential,1114,543,94.58
LSCC,1,2610,0.0114505788953575,0.55796957160688,1.29533678756476,3.0792563760325,99.00337926196278,LANCASHIRE ROAD,trunk,1579,989,184.002
LSCC,2,2068,0.0257230842642046,0.60653901899565,1.23056994818653,3.9821102750087696,98.77967592402273,CONCORDE ROAD,secondary,1245,1244,14.328
LSCC,3,2377,0.0122032407597726,0.55227394466887,1.23056994818653,3.7587025444716198,98.77967592402273,CONCORDE ROAD,secondary,1433,1245,51.476
LSCC,4,44,0.0078524827456473,0.35302206178829,0.97150259067357,2.41863185833222,99.21475172543524,TAT CHEE AVENUE,secondary,23,1480,315.06500000000005
LSCC,5,953,0.0296537428819496,0.27058206028957,0.97150259067357,1.05696213681998,99.86928730667867,PRINCE EDWARD ROAD WEST,primary,567,308,14.207999999999998
LSCC,6,2451,0.0169589980439782,0.87074949345744,0.97150259067357,5.2235164702903,98.30410019560216,TAT CHEE AVENUE,secondary,1480,23,315.065
LSCC,7,426,0.007909670840556,0.36076930409347,0.9067357512953299,2.4362462807695,99.20903291594436,TAT CHEE AVENUE,secondary,253,23,78.036
LSCC,8,2269,0.0317662514202371,0.25005207850985,0.8419689119171001,0.9467454047474899,99.78830725079396,YAN FUNG STREET,trunk,1365,504,22.958
LSCC,9,592,0.0476338719214601,1.20026571237307,0.77720207253886,3.9053566787189498,98.83360980266987,CHATHAM ROAD NORTH,trunk,355,373,114.684
LSCC,10,673,0.0126644691774994,0.8017572291609101,0.77720207253886,3.9007648426283,98.73355308225004,LAI CHI KOK ROAD,primary,400,1092,460.1590000000001
TTD,1,209,0.0615531304505416,1.3246159434004199,0.5181347150259,6.95574848335702,97.89037086584659,CHERRY STREET,primary,126,54,28.130000000000003
TTD,2,2489,0.0269929597597181,3.7898836643392304,0.1943005181347,6.581309764969539,97.8734731190972,HUNG LUEN ROAD,tertiary,1504,223,81.211
TTD,3,2426,0.0207062176418303,3.60226593894991,0.06476683937823,6.3776921613551005,97.92937823581696,WA SHUN STREET,residential,1463,1504,91.646
TTD,4,29,0.0242552999998304,0.8735919098146601,0.25906735751294,6.27280017752287,97.96585477796349,WEST KOWLOON CORRIDOR,trunk,15,16,455.859
TTD,5,2699,0.0203414522203651,0.87204911734106,0.0,6.265341291222611,97.96585477796349,YEN CHOW STREET,trunk,1635,15,1141.311
TTD,6,1828,0.0307859823366375,1.02228472650374,0.71243523316061,6.264905020179071,97.99379027065176,MODY ROAD,secondary,1104,830,132.51600000000002
TTD,7,1439,0.0188921413309687,1.01807821572316,0.38860103626943,5.67869866086572,98.15747044959068,CHEUNG SHA WAN ROAD,secondary,865,867,13.335
TTD,8,2492,0.0231513280577527,1.13397655626792,0.06476683937823,5.3826552928249,98.28614180484456,SAN SHAN ROAD,tertiary,1505,1512,131.048
TTD,9,1843,0.0172418768845215,3.1579149606028403,0.12953367875647,5.31064557301458,98.27581231154784,KIN WAN STREET,residential,1114,543,94.58
TTD,10,834,0.0283877312585949,1.01113885391002,0.38860103626943,5.25561277789081,98.32324450212228,CANTON ROAD,secondary,495,1102,186.679
